title,price,area,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for sale at Shreenagar, Hattigauda, Budhanilkantha-06, Kathmandu","Rs.26,000,000",sq m0-4-0-0,"Shreenagar, Hattigauda, Budhanilkantha-06, Kathmandu",Kathmandu,2.5,12,7,3,,3,1,https://99aana.com/property/house-for-sale-at-shreenagar-hattigauda-budhanilkantha-06-kathmandu-5164/
"House for sale at Bethari Bazar, Bhairahawa, Rupandehi",Negotiable,sq m9 dhur,"Bethari Bazar, Bhairahawa, Rupandehi",Rupandehi,1,3,1,1,,1,1,https://99aana.com/property/house-for-sale-at-bethari-bazar-bhairahawa-rupandehi-5145/
"House for Sale at Mulpani, Kathmandu",Rs. 1 Crore 30 Lakh,sq m0-3-0-1,"Mulpani, Kathmandu",Kathmandu,2.5,6,,2,,,1,https://99aana.com/property/house-for-sale-at-mulpani-kathmandu-5156/
"Beautiful House for Sale at Nayagaun, Pokhara",Rs. 8 Crore,sq m0-12-0-0,"Nayagaun-15, Pokhara",Pokhara,2.5,9,5,6,,,1,https://99aana.com/property/house-for-sale-at-nayagaun-pokhara-5153/
"House for Sale at Tokha, Kathmandu",Rs. 1 Crore 10 Lakh,sq m0-2-2-2,"Tokha, Kathmandu",Kathmandu,1.5,,,,,,1,https://99aana.com/property/house-for-sale-at-tokha-kathmandu-5152/
"House for Sale at Dharmasthali, Kathmandu",Rs. 90 Lakh (Fixed),sq m0-4-0-0,"Dharmasthali, Kathmandu",Kathmandu,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-dharmasthali-kathmandu-5151/
"House for Sale at Naxal, Kathmandu",Rs. 15 Crore,sq m0-17-0-0,"Naxal, Kathmandu",Kathmandu,3,,,,,,1,https://99aana.com/property/house-for-sale-at-naxal-kathmandu-5150/
"House for sale at Sitapaila , Kathmandu","Rs.23,000,000",sq m0-4-3-0,"Sitapaila , Kathmandu",Kathmandu,2.5,6,4,5,,1,1,https://99aana.com/property/48744/
"House for sale at Bharatpur-05, Chitwan",58 lakh,sq m9 dhur,"Bharatpur-05, Chitwan",Chitwan,1,,2,1,,1,1,https://99aana.com/property/house-for-sale-at-bharatpur-05-chitwan-5136/
"House for Sale at Shreenagar, Kathmandu",Rs. 1 Crore 80 Lakh,sq m0-5-0-0,"Shreenagar, Kathmandu",Kathmandu,2.5,13,8,3,,3,1,https://99aana.com/property/house-for-sale-at-shreenagar-kathmandu-5126/
"House for Sale at Bharatpur, Chitwan",Rs. 35 Lakh,sq m10.2 Dhur,"Bharatpur, Chitwan",Chitwan,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-bharatpur-chitwan-5125/
"House for sale at Imadol, Lalitpur","Rs.15,500,000",sq m0-3-0-0,"Imadol, Lalitpur",Lalitpur,3,10,9,3,,1,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-5124/
"House for sale at Gothatar, Kathmandu","Rs.17,500,000",sq m0-4-0-0,"Gothatar, Kathmandu",Kathmandu,3,13,6,3,,2,1,https://99aana.com/property/house-for-sale-at-gothatar-kathmandu-5106/
"House for Sale at Kadaghari, Kathmandu",Rs. 1 Crore 38 Lakh,sq m0-3-2-0,"Kadaghari, Kathmandu",Kathmandu,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-5115/
"House for Sale at Devchuli Nagar, Nawalpur",Rs. 65 Lakh,sq m7.5 Dhur,"Devchuli Nagar, Nawalpur",Nawalpur,1,,,,,,1,https://99aana.com/property/house-for-sale-at-devchuli-nagar-nawalpur-5111/
"House for Sale at Kajipokhari, Pokhara",Negotiable,sq m0-3-0-0,"Kajipokhari, Pokhara",Pokhara,1.5,5,,3,,1,1,https://99aana.com/property/house-for-sale-at-kajipokhari-pokhara-5110/
"House for sale at Mulpani , Kathmandu","13,500,000",sq m4 aana 2 paisa,"Mulpani , Kathmandu",Kathmandu,2.5,10,9,2,,,1,https://99aana.com/property/house-for-sale-at-mulpani-kathmandu-5100/
"House for sale at Kawasoti-17, Nawalpur","Rs.13,500,000",sq m4.5 Katha,"Kawasoti-17, Nawalpur",Nawalpur,1,6,4,2,,1,1,https://99aana.com/property/house-for-sale-at-kawasoti-17-nawalpur-5086/
"House for sale at Mahalaxmi-01, Lalitpur",Negotiable,sq m0-3-2-0,"Mahalaxmi-01, Lalitpur",Lalitpur,2.5,10,6,3,,2,1,https://99aana.com/property/house-for-sale-at-mahalaxmi-01-lalitpur-5085/
"House for Sale at TiKathali, Lalitpur",Rs. 1 Crore 12 Lakh,sq m0-2-3-0,"TiKathali, Lalitpur",Lalitpur,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-14-5096/
"House for Sale at Dhapasi Height, Kathmandu",Rs. 2 Crore 80 Lakh,sq m0-4-0-0,"Dhapasi Height, Kathmandu",Kathmandu,2.5,10,6,4,,2,1,https://99aana.com/property/house-for-sale-at-dhapasi-height-kathmandu-5093/
"House for Sale at Ochu Height, Lalitpur",Rs. 1 Crore 75 Lakh,sq m0-3-0-0,"Ochu height, Lalitpur",Lalitpur,2.5,9,,3,,,1,https://99aana.com/property/house-for-sale-at-ochu-height-lalitpur-5091/
"House for Sale at Katunje, Bhaktapur",Rs. 82 Lakh,sq m0-2-2-0,"Katunje, Bhaktapur",Bhaktapur,1,3,,1,,,1,https://99aana.com/property/house-for-sale-at-katunje-bhaktapur-5090/
"House for sale at Mohana, Ratnanagar, Chitwan","55,000,00",sq m12.5 dhur,"Mohana, Ratnanagar, Chitwan",Chitwan,half,5,2,1,,,,https://99aana.com/property/48314/
"House for sale at Naksal, Kathmandu","Rs.38,000,000",sq m0-4-0-0,"Naksal, Kathmandu",Kathmandu,2.5,10,6,5,,2,1,https://99aana.com/property/house-for-sale-at-naksal-kathmandu-5070/
"House for Sale at Dhapasi, Kathmandu","Rs.57,000,000",sq m0-14-0-0,"Dhapasi, Kathmandu",Kathmandu,2.5,14,6,6,,,1,https://99aana.com/property/house-for-sale-at-dhapasi-kathmandu-5075/
"House for Sale at Lekhnath, Pokhara","Rs.11,000,000",sq m0-10-2-0,"Lekhnath, Pokhara",Pokhara,1,5,,1,,,1,https://99aana.com/property/house-for-sale-at-lekhnath-pokhara-5072/
"House for Sale at Tokha, Kathmandu",Negotiable,sq m0-3-0-0,"Tokha, Kathmandu",Kathmandu,2.5,10,6,3,,2 with dining,1,https://99aana.com/property/house-for-sale-at-tokha-kathmandu-5071/
"House for sale at Chabahil, Kathmandu","Rs.10,000,000",sq m0-2-0-0,"Chabahil, Kathmandu",Kathmandu,2.5,11,6,3,,2,1,https://99aana.com/property/house-for-sale-at-chabahil-kathmandu-5059/
"House for sale at Naikap, Kathmandu","Rs.12,500,000",sq m0-3-2-0,"Naikap, Kathmandu",Kathmandu,3,8,5,3,,1,1,https://99aana.com/property/house-for-sale-at-naikap-kathmandu-5051/
"House for Sale at Butwal, Rupandehi","Rs.13,500,000",sq m9 Dhur,"Butwal, Rupandehi",Rupandehi,1,3,,1,,,1,https://99aana.com/property/house-for-sale-at-butwal-rupandehi-5045/
"House for sale at Balaju, Kathmandu","Rs.21,500,000",sq m0-6-0-0,"Balaju, Kathmandu",Kathmandu,1,7,4,2,,1,1,https://99aana.com/property/house-for-sale-at-balaju-kathmandu-5054/
"Beautiful house for sale at Bhaisepati, Lalitpur","Rs.26,000,000",sq m0-3-0-0,"Bhaisepati, Lalitpur",Lalitpur,2.5,7,4,5,,,,https://99aana.com/property/beautiful-house-for-sale-at-bhaisepati-lalitpur-5036/
"House for sale at Pepsicola, Kathmandu","Rs.25,000,000",sq m0-4-0-0,"Pepsicola, Kathmandu",Kathmandu,2.5,11,6,3,,2,1,https://99aana.com/property/house-for-sale-at-pepsicola-kathmandu-5034/
"House for sale at Pragati Nagar, Dhumabarahi, Kathmandu","Rs.39,000,000",sq m0-5-0-0,"Pragati Nagar, Dhumabarahi, Kathmandu",Kathmandu,2.5,9,4,5,,1,1,https://99aana.com/property/house-for-sale-at-pragati-nagar-dhumabarahi-kathmandu-5028/
"Beautiful house for sale at Dhapasi, Kathmandu","Rs.140,000,000",sq m1-7-0-0,"Dhapasi, Tokha, Kathmandu",Kathmandu,2.5,12,6,6,,,,https://99aana.com/property/beautiful-house-for-sale-at-dhapasi-kathmandu-5033/
"House for Sale at Chapagaun, Lalitpur","Rs.6,500,000",sq m0-5-1-0,"Chapagaun, Lalitpur",Lalitpur,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-chapagaun-lalitpur-5040/
"House for Sale at Sundarijal, Kathmandu","Rs.14,000,000",sq m0-4-0-0,"Sundarijal, Gokarneshwor-01, Kathmandu",Kathmandu,2.5,11,,3,,,1,https://99aana.com/property/house-for-sale-at-sundarijal-kathmandu-5039/
"House for Sale at TiKathali, Lalitpur","Rs.11,000,000",sq m0-3-0-3,"TiKathali, Lalitpur",Lalitpur,1,4,3,1,,1,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-5038/
"House for sale at Kharibot, Banasthali, Kathmandu","Rs.23,500,000",sq m0-4-0-0,"Kharibot, Banasthali, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-kharibot-banasthali-kathmandu-5024/
"House for sale at Sangit Chowk, Itahari, Sunsari","Rs.16,500,000",sq m5.5 dhur,"Sangit Chowk, Itahari, Sunsari",Sunsari,4,,,,,,1,https://99aana.com/property/house-for-sale-at-sangit-chowk-itahari-sunsari-5025/
"House for sale at Butwal, Rupandehi","Rs.14,000,000",sq m8.5 dhur,"Butwal, Rupandehi",Rupandehi,3,9,6,3,,2,1,https://99aana.com/property/house-for-sale-at-butwal-rupandehi-5027/
"House for Sale at Mechinagar, Jhapa",Negotiable,sq m27 Dhur,"Mechinagar-15, Jhapa",Jhapa,1,,,,,,1,https://99aana.com/property/house-for-sale-at-mechinagar-jhapa-5021/
"House for Sale at Dadathok, Lalitpur","Rs.9,800,000",sq m0-3-2-0,"Dadathok, Lalitpur",Lalitpur,1,5,4,1,,1,1,https://99aana.com/property/house-for-sale-at-dadathok-lalitpur-5020/
"House for sale at Hariyali Basti, Satungal, Kathmandu","Rs.16,500,000",sq m0-2-3-0,"Hariyali Basti, Satungal, Kathmandu",Kathmandu,2.5,7,4,3,,1,1,https://99aana.com/property/house-for-sale-at-hariyali-basti-satungal-kathmandu-5014/
"House for sale at Sukedhara, Kathmandu","Rs.45,000,000",sq m0-7-1-0,"Sukedhara, Kathmandu",Kathmandu,3.5,19,,9,,,1,https://99aana.com/property/house-for-sale-at-sukedhara-kathmandu-4990/
"House for Sale at Naya Thimi, Bhaktapur","Rs.10,500,000",sq m0-4-0-0,"Naya Thimi, Bhaktapur",Bhaktapur,3.5,7,,1,,,1,https://99aana.com/property/house-for-sale-at-naya-thimi-bhaktapur-5005/
"House for Sale at Itahari, Sunsari","Rs.6,800,000",sq m8 Dhur,"Itahari, Sunsari",Sunsari,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-itahari-sunsari-5004/
"House for Sale at Gachhiya, Morang","Rs.2,500,000",sq m10.5 Dhur,"Gachhiya, Morang",Morang,1,5,,1,,,1,https://99aana.com/property/house-for-sale-at-gachhiya-morang-5003/
"House for Sale at Mulpani, Kathmandu","Rs.16,000,000",sq m0-3-0-0,"Mulpani, Kathmandu",Kathmandu,2.5,10,,2,,,1,https://99aana.com/property/house-for-sale-at-mulpani-kathmandu-5002/
"House for sale at Thankot, Chandragiri-03, Kathmandu","Rs.17,000,000",sq m0-4-0-0,"Thankot, Chandragiri-03, Kathmandu",Kathmandu,3,11,8,3,,3,1,https://99aana.com/property/house-for-sale-at-thankot-chandragiri-03-kathmandu-4988/
"House for sale at Gyaneshwor, Kathmandu",Negotiable,sq m0-6-0-0,"Gyaneshwor, Kathmandu",Kathmandu,3.5,8,4,4,,1,1,https://99aana.com/property/house-for-sale-at-gyaneshwor-kathmandu-4994/
"House for Sale at Biratnagar, Morang","Rs.7,000,000",sq m8 Dhur,"Biratnagar, Morang",Morang,1,,,,,,1,https://99aana.com/property/house-for-sale-at-biratnagar-morang-4999/
"House for Sale at Bharatpur, Chitwan","Rs.6,500,000",sq m1 Katha,"Bharatpur, Chitwan",Chitwan,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-bharatpur-chitwan-4998/
"House for Sale at Murgiya, Rupandehi","Rs.2,300,000",sq m12 Dhur,"Murgiya, Rupandehi",Rupandehi,1,3,,1,,1,1,https://99aana.com/property/house-for-sale-at-murgiya-rupandehi-4997/
"House for Sale at Bargachhi, Morang","Rs.14,500,000",sq m1 Katha,"Bargachhi, Morang",Morang,2,11,,3,,,1,https://99aana.com/property/house-for-sale-at-bargachhi-morang-4996/
"House for sale at Kumari tole, Samakhusi, Kapurdhara, Kathmandu","Rs.51,500,000",sq m0-10-0-0,"Kumari tole, Samakhusi, Kapurdhara, Kathmandu",Kathmandu,3,26,20,6,,,,https://99aana.com/property/house-for-sale-at-kumari-tole-samakhusi-kapurdhara-kathmandu-4983/
"House for Sale at Taukhel, Lalitpur","Rs.18,000,000",sq m0-4-0-0,"Taukhel, Lalitpur",Lalitpur,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-taukhel-lalitpur-4973/
"House for Sale at Taukhel, Lalitpur","Rs.17,000,000",sq m0-4-0-0,"Taukhel, Lalitpur",Lalitpur,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-taukhel-lalitpur-4972/
"House for Sale at Jarankhu, Kathmandu","Rs.7,000,000",sq m0-3-1-0,"Jarankhu, Kathmandu",Kathmandu,1,3,2,1,,1,1,https://99aana.com/property/house-for-sale-at-jarankhu-kathmandu-4971/
"House for sale at Gudchari, Madhyabindu-01, Nawalparasi","Rs.5,000,000",sq m1 Katha 18 dhur,"Gudchari, Madhyabindu-01, Nawalparasi",Nawalparasi,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-gudchari-madhyabindu-01-nawalparasi-4962/
"House for sale at Thankot, Kathmandu","Rs.13,500,000",sq m0-4-0-0,"Thankot, Kathmandu",Kathmandu,2,4,2,2,,1,1,https://99aana.com/property/house-for-sale-at-thankot-kathmandu-4965/
"House for sale at Dharan-12, Annapurna Marg, Sunsari","Rs.20,000,000",sq m16.5 dhur,"Annapurna Marg, Dharan-12, Sunsari",Sunsari,2.5,9,5,4,,1,1,https://99aana.com/property/house-for-sale-at-dharan-12-annapurna-marg-sunsari-4960/
"House for Sale at TiKathali, Lalitpur","Rs.12,500,000",sq m0-3-0-0,"TiKathali, Lalitpur",Lalitpur,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-4957/
"House for Sale at Thulo Bharyang, Kathmandu","Rs.26,000,000",sq m0-3-2-0,"Thulo Bharyang, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-thulo-bharyang-4956/
"House for Sale at Butwal, Rupandehi","Rs.15,000,000",sq m5 Dhur,"Butwal, Rupandehi",Rupandehi,3.5,,8,4,,2,1,https://99aana.com/property/house-for-sale-at-butwal-rupandehi-4955/
"House for sale at Syuchatar, Kathmandu","Rs.9,500,000",sq m0-4-0-0,"Syuchatar, Kathmandu",Kathmandu,2,4,2,2,,1,1,https://99aana.com/property/house-for-sale-at-syuchatar-kathmandu-4948/
"House for sale at Panchakumari, Narayanchowk, Kapan, Kathmandu","Rs.36,000,000",sq m0-7-0-0,"Panchakumari, Narayanchowk, Kapan, Kathmandu",Kathmandu,2.5,10,6,3,,3,1,https://99aana.com/property/house-for-sale-at-panchakumari-narayanchowk-kapan-kathmandu-4946/
"House for sale at Halgada, Itahari, Sunsari",70 lakh,sq m10 dhur,"HalgadaIta Itahari, Sunsari",Sunsari,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-halgada-itahari-sunsari-4949/
"House for sale at Itahari, Sunsari","Rs.8,700,000",sq m6 dhur,"Itahari, Sunsari",Sunsari,2.5,7,4,2,,1,1,https://99aana.com/property/house-for-sale-at-itahari-sunsari-4953/
"House for sale at Zero Point, Dharan, Sunsari","Rs.18,000,000",sq m10 dhur,"Zero Point, Dharan, Sunsari",Sunsari,2,2,4,2,,2,1,https://99aana.com/property/house-for-sale-at-zero-point-dharan-sunsari-4951/
"House for sale at Milan Tole, Dhapasi, Kathmandu","Rs.9,800,000",sq m0-3-0-0,"Milan Tole, Dhapasi, Kathmandu",Kathmandu,2,6,5,2,,1,1,https://99aana.com/property/house-for-sale-at-milan-tole-dhapasi-kathmandu-4933/
"House for sale at Green Hill City, Mulpani, Kathmandu","Rs.25,000,000",sq m0-3-2-0,"Green Hill City, Mulpani, Kathmandu",Kathmandu,2.5,7,4,4,,1,1,https://99aana.com/property/house-for-sale-at-green-hill-city-mulpani-kathmandu-4936/
"House for Sale at Lolang, Kathmandu","Rs.16,000,000",sq m0-4-0-0,"Lolang, Tarkeshwor, Kathmandu",Kathmandu,2,,,,,,1,https://99aana.com/property/house-for-sale-at-lolang-kathmandu-4941/
"House for Sale at Itahari, Sunsari","Rs.6,700,000",sq m10.75 Dhur,"Itahari, Sunsari",Sunsari,1.5,5,3,1,,1,1,https://99aana.com/property/house-for-sale-at-itahari-sunsari-4940/
"House for Sale at Itahari, Sunsari","Rs.75,000,000",sq m11 Dhur,"Itahari, Sunsari",Sunsari,1.5,5,3,1,,1,1,https://99aana.com/property/house-for-sale-at-itahari-sunsari-4939/
"House for Sale at Chauwa, Kapilvastu","Rs.7,500,000",sq m1 Katha 12 Dhur,"Chauwa, Kapilvastu",Kapilvastu,1,5,,1,,,1,https://99aana.com/property/house-for-sale-at-chauwa-kapilvastu-4938/
"House for sale at Suryadarshan Height, Tokha Dhaneshwor, Kathmandu","Rs.24,500,000",sq m0-3-3-3,"Suryadarshan Height, Tokha Dhaneshwor, Kathmandu",Kathmandu,2.5,12,7,4,,3,1,https://99aana.com/property/house-for-sale-at-suryadarshan-height-tokha-dhaneshwor-kathmandu-4916/
"House for Sale at Murgiya, Rupandehi","Rs.11,000,000",sq m11.5 Dhur,"Murgiya, Rupandehi",Rupandehi,2.5,8,5,2,,2,1,https://99aana.com/property/house-for-sale-at-murgiya-rupandehi-4924/
"House for sale at Syuchatar, Nagarjun-10, Kathmandu","Rs.32,500,000",sq m0-8-1-0,"Syuchatar, Nagarjun-10, Kathmandu",Kathmandu,2.5,12,7,2,,,,https://99aana.com/property/house-for-sale-at-syuchatar-nagarjun-10-kathmandu-4913/
"House for Sale at Gothatar, Kathmandu","Rs.21,000,000",sq m0-3-0-0,"Gothatar, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-gothatar-kathmandu-4911/
"House for Sale at Dhapasi, Kathmandu","Rs.35,000,000",sq m0-4-1-0,"Dhapasi, Kathmandu",Kathmandu,3.5,13,,7,,,1,https://99aana.com/property/house-for-sale-at-dhapasi-kathmandu-4910/
"House for Sale at Tarkeshwor, Kathmandu","Rs.12,000,000",sq m0-4-0-0,"Tarkeshwor, Kathmandu",Kathmandu,1,6,,1,,,1,https://99aana.com/property/house-for-sale-at-tarkeshwor-kathmandu-4908/
"House for sale at Lubhu Lamatar, Lalitpur","Rs.15,500,000",sq m0-3-0-0,"Lubhu Lamatar, Lalitpur",Lalitpur,3.5,8,6,4,,1,1,https://99aana.com/property/house-for-sale-at-lubhu-lamatar-lalitpur-4899/
"House for Sale at Putalisadak, Kathmandu","Rs.25,000,000",sq m0-1-2-0,"Putalisadak, Kathmandu",Kathmandu,5,,,,,,1,https://99aana.com/property/house-for-sale-at-putalisadak-kathmandu-4893/
"House for Sale at Laxmi Marga, Morang","Rs.7,000,000",sq m5 Dhur,"Laxmi Marga, Morang",Morang,2,5,,2,,,1,https://99aana.com/property/house-for-sale-at-laxmi-marga-4892/
"House for Sale at Nilkantha, Dhading","Rs.5,500,000",sq m0-2-0-2,"Nilkantha, Dhading",Dhading,2,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-nilkantha-dhading-4891/
"House for Sale at Bharatpur, Chitwan","Rs.20,000,000",sq m10.25 Dhur,"Bharatpur-07, Chitwan",Chitwan,2.5,10,8,3,,1,1,https://99aana.com/property/house-for-sale-at-bharatpur-chitwan-4890/
"House for sale at Balaju, Manamaiju, Kathmandu",3 crore 50 lakh,sq m0-5-0-0,"Balaju, Manamaiju, Kathmandu",Kathmandu,3.5,14,9,7,,,,https://99aana.com/property/house-for-sale-at-balaju-manamaiju-kathmandu-4887/
"House for Sale at Imadol, Lalitpur","Rs.17,500,000",sq m0-3-0-0,"Imadol, Lalitpur",Lalitpur,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-4875/
"House for Sale at Butwal, Rupandehi","Rs.13,500,000",sq m9 Dhur,"Butwal, Rupandehi",Rupandehi,1,,,,,,1,https://99aana.com/property/house-for-sale-at-butwal-rupandehi-4874/
"House for Sale at Duwakot, Bhaktapur","Rs.15,000,000",sq m0-6-1-0,"Duwakot, Bhaktapur",Bhaktapur,2.5,10,8,2,,1,1,https://99aana.com/property/house-for-sale-at-duwakot-bhaktapur-4873/
"House for sale at Radhakrishna Marg, Thankot, Chandragiri, Kathmandu","Rs 1,12,00,000",sq m0-3-1-0,"Radhakrishna Marg, Thankot, Chandragiri, Kathmandu",Kathmandu,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-radhakrishna-marg-thankot-chandragiri-kathmandu-4868/
"House for sale at Sitapaila, Nagarjun-04, Kathmandu","Rs.95,000,000",sq m0-15-2-0,"Sitapaila, Nagarjun-04, Kathmandu",Kathmandu,3.5,15,11,7,,,,https://99aana.com/property/house-for-sale-at-sitapaila-nagarjun-04-kathmandu-4867/
"House for sale at Pani Tanki, Urlabari, Morang","Rs 80,00,000",sq m1 Katha,"Pani Tanki, Urlabari, Morang",Morang,1,6,4,2,,1,1,https://99aana.com/property/house-for-sale-at-pani-tanki-urlabari-morang-4872/
"House for Sale at Imadol, Lalitpur","Rs.12,500,000",sq m0-4-0-0,"Imadol, Lalitpur",Lalitpur,2,7,,2,,,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-4862/
"House for Sale at Dhapasi, Kathmandu","Rs.23,000,000",sq m0-4-0-0,"Dhapasi, Kathmandu",Kathmandu,2.5,9,5,4,,2,1,https://99aana.com/property/house-for-sale-at-dhapasi-kathmandu-4859/
"House for Sale at Dulegaunda, Tanahun","Rs.7,200,000",sq m0-3-1-0,"Dulegaunda, Tanahun",Tanahun,2,5,3,1,,1,1,https://99aana.com/property/house-for-sale-at-dulegaunda-tanahun-4858/
"House for Sale at TiKathali, Lalitpur","Rs.12,000,000",sq m0-3-0-0,"TiKathali, Lalitpur",Lalitpur,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-4857/
"House for sale at Banepa-06, Kavrepalanchok","Rs.20,000,000",sq m0-5-0-0,"Banepa-06, Kavrepalanchok",Kavrepalanchok,2,8,6,2,,1,1,https://99aana.com/property/house-for-sale-at-banepa-06-kavrepalanchok-4852/
"House for sale at Hattiban, Lalitpur","Rs.17,800,000",sq m0-3-2-0,"Hattiban, Kathmandu",Kathmandu,2.5,8,5,3,,2,1,https://99aana.com/property/house-for-sale-at-hattiban-lalitpur-4839/
"House for sale at Kirtipur, Kathmandu",1 crore 35 lakh,sq m0-4-0-0,"Kirtipur, Kathmandu",Kathmandu,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-kirtipur-kathmandu-4837/
"House for Sale at Balkot, Bhaktapur","Rs.24,000,000",sq m0-5-0-0,"Balkot, Bhaktapur",Bhaktapur,2.5,11,6,3,,2,1,https://99aana.com/property/house-for-sale-at-balkot-bhaktapur-4844/
"House for Sale at Birgunj, Parsa","Rs.6,800,000",sq m5 Dhur,"Birgunj, Parsa",Parsa,1,4,,1,,1,1,https://99aana.com/property/house-for-sale-at-birgunj-parsa-4843/
"House for Sale at Dahachowk, Kathmandu","Rs.21,500,000",sq m0-4-2-0,"Dahachowk, Kathmandu",Kathmandu,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-dahachowk-kathmandu-4842/
"House for Sale at Balaju, Kathmandu","Rs.21,000,000",sq m0-3-1-1,"Balaju, Kathmandu",Kathmandu,3.5,11,,4,,,1,https://99aana.com/property/house-for-sale-at-balaju-kathmandu-4841/
"House for sale at Chhampi Road, Godawari, Lalitpur","Rs.14,500,000",sq m0-2-2-0,"Chhampi Road, Godawari, Lalitpur",Lalitpur,2.5,6,4,4,,1,1,https://99aana.com/property/house-for-sale-at-chhampi-road-godawari-lalitpur-4814/
"Fully Furnished House for Sale at Sital Height, Lalitpur","Rs.18,500,000",sq m0-3-0-0,"Sital Height, Lalitpur",Lalitpur,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-sital-height-lalitpur-4827/
"House for Sale at Kapan, Kathmandu","Rs.11,000,000",sq m0-2-2-0,"Kapan, Kathmandu",Kathmandu,1,,,,,,1,https://99aana.com/property/house-for-sale-at-kapan-kathmandu-4826/
"House for Sale at Tadi, Chitwan","Rs.13,500,000",sq m1 Katha,"Tadi, Chitwan",Chitwan,2,,,,,,1,https://99aana.com/property/house-for-sale-at-tadi-chitwan-4825/
"House for sale at Padma Colony, Sitapaila, Nagarjun-07, Kathmandu",2 crores 25 lakhs,sq m0-4-2-0,"Padma Colony, Sitapaila, Nagarjun-07, Kathmandu",Kathmandu,2.5,9,4,3,,,,https://99aana.com/property/house-for-sale-at-padma-colony-sitapaila-nagarjun-07-kathmandu-4800/
"House for Sale at Surunga, Jhapa",Negotiable,sq m3 Katha,"Surunga, Jhapa",Jhapa,1,,,,,,1,https://99aana.com/property/house-for-sale-at-surunga-jhapa-4811/
"House for Sale at Duwakot, Bhaktapur","Rs.13,500,000",sq m0-3-3-2,"Duwakot, Bhaktapur",Bhaktapur,2,9,,2,,2,1,https://99aana.com/property/house-for-sale-at-duwakot-bhaktapur-4810/
"House for Sale at Lolang Height, Kathmandu","Rs.13,500,000",sq m0-3-0-0,"Lolang Height, Tarkeshwor-05, Kathmandu",Kathmandu,2,,,,,,1,https://99aana.com/property/house-for-sale-at-lolang-height-4809/
"House for sale at Pipalbot, Dhumbarahi, Kathmandu",55 lakh,sq m0-1-2-0,"Pipalbot, Dhumbarahi, Kathmandu",Kathmandu,2,1,1,1,,1,1,https://99aana.com/property/house-for-sale-at-pipalbot-dhumbarahi-kathmandu-4803/
"House for Sale at Kakarbhitta, Jhapa","Rs.12,500,000",sq m1 Katha,"Kakarbhitta-06, Jhapa",Jhapa,1,4,,1,,1,1,https://99aana.com/property/house-for-sale-at-kakarbhitta-jhapa-4786/
"House for Sale at Gharipatan, Pokhara","Rs.14,000,000",sq m4.4 Aana,"Gharipatan-17, Pokhara",Pokhara,1,5,2,2,,1,1,https://99aana.com/property/house-for-sale-at-gharipatan-pokhara-4785/
"House for Sale at Balkot, Bhaktapur","Rs.28,000,000",sq m4.2 Aana,"Balkot, Bhaktapur",Bhaktapur,2.5,10,,3,,,1,https://99aana.com/property/house-for-sale-at-balkot-bhaktapur-4781/
"House for Sale at Banasthali, Kathmandu","Rs.16,000,000",sq m0-3-0-0,"Banasthali, Kathmandu",Kathmandu,2.5,6,,3,,,1,https://99aana.com/property/house-for-sale-at-banasthali-kathmandu-4777/
"House for Sale at Biratnagar, Morang","Rs.5,500,000",sq m8.5 Dhur,"Biratnagar, Morang",Morang,1,6,,2,,1,1,https://99aana.com/property/house-for-sale-at-biratnagar-morang-4776/
"House for sale at Shreepur-11, Birgunj, Parsa","Rs.8,000,000",sq m6 dhur,"Shreepur-11, Birgunj, Parsa",Parsa,2.5,12,7,3,,3,1,https://99aana.com/property/house-for-sale-at-shreepur-11-birgunj-parsa-4767/
