title,price,area,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for sale at Setipakha, Lalitpur","Rs.22,500,000",sq m0-4-1-0,"Setipakha, Lalitpur",Lalitpur,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-setipakha-lalitpur-8578/
"House for Sale at Khadka Gaun, Kalanki, Kathmandu","Rs.22,500,000",sq m0-4-0-0,"Khadka Gaun, Kalanki, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-khadka-gaun-kalanki-kathmandu-8570/
"House for Sale at Kadaghari, Kathmandu","Rs.16,500,000",sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,2.5,11,,,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8567/
"House for Sale at Sapkota chowk, Pokhara, Kaski",Rs. 1 crore 5 lakh,sq m0-4-0-0,"Sapkota chowk, Pokhara, Kaski",Kaski,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-sapkota-chowk-pokhara-kaski-8568/
"House for sale at Dhaneshwor Chowk, Kathmandu","Rs.23,000,000",sq m0-4-2-0,"Dhaneshwor Chowk, Kathmandu",Kathmandu,2.5,9,,3,,,1,https://99aana.com/property/house-for-sale-at-dhaneshwor-chowk-kathmandu-8565/
"House for sale at Syuchatar, Kalanki, Kathmandu","Rs.22,000,000",sq m0-3-0-0,"Syuchatar, Kalanki, Kathmandu",Kathmandu,2.5,9,,3,,,1,https://99aana.com/property/house-for-sale-at-syuchatar-kalanki-kathmandu-8564/
"House for sale at Imadol, Lalitpur","Rs.29,000,000",sq m0-3-2-0,"Imadol, Lalitpur",Lalitpur,2.5,9,5,3, 2,2,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8562/
"House for sale at Imadol, Mahalaxmi, Lalitpur","Rs.22,500,000",sq m0-3-1-0,"Imadol, Mahalaxmi, Lalitpur",Lalitpur,2.5,9,4,4,2,2,1,https://99aana.com/property/house-for-sale-at-imadol-mahalaxmi-lalitpur-8555/
"House for sale at Duwakot height, Bhaktapur","Rs.22,000,000",sq m0-4-0-0,"Duwakot Height, Bhaktapur",Bhaktapur,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-duwakot-height-bhaktapur-8554/
"House for Sale at Bafal, Kalanki, Kathmandu","Rs.27,500,000",sq m0-3-2-0,"Bafal, Kalanki, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-bafal-kalanki-kathmandu-8553/
"House for sale at TiKathali, Lalitpur",Rs 1 Crore 68 Lakh,sq m0-3-3-0,"TiKathali, Lalitpur",Lalitpur,2.5,8,5,,,,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-14-8561/
"House for sale at Lokanthali, Bhaktapur",Rs 5 Crore 30 Lakh,sq m0-8-0-0,"Lokanthali, Bhaktapur",Bhaktapur,3.5,,,,,,,https://99aana.com/property/house-for-sale-at-lokanthali-bhaktapur-2-8551/
"House for Sale at Jyotinagar, Mandikhatar, Kathmandu","Rs.28,800,000",sq m0-4-1-0,"Jyotinagar, Mandikhatar, Kathmandu",Kathmandu,2.5,11,5,3,,,1,https://99aana.com/property/house-for-sale-at-jyotinagar-mandikhatar-kathmandu-8543/
