title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
House At Pepsicola Planning Is On Sale,"1,90,00,000","Kathmandu, Town PlanningWard no 32, 2KM from Jadibuti Chowk, Araniko highway.",Kathmandu,Three Floors,,6 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7454
Residential Bungalow On Sale At Matatirtha Kathmandu,"1,40,00,000","Kathmandu, Chandragiri1.5 KM from Gurjudhara Prithiwi Highway.",Kathmandu,Two And Half Floors,,3 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7445
"Residential House On Sale At Imadol, Lalitpur","1,40,00,000","Lalitpur, Mahalaxmi",Lalitpur,Three And Half Floors,,3 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7444
"Residential House On Sale At Imadol, Lalitpur","1,60,00,000","Lalitpur, Mahalaxmi",Lalitpur,Three And Half Floors,,3 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7443
चितवन को विभीन्न ठाउ मा घर घडेरी किस्ताबन्दी मा,"1,80,00,000","Chitwan, Bharatpur,  aastha chowk Ward No",Chitwan,Two And Half Floors,,3 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7440
"Residential House On Sale At Ekantakuna, Lalitpur","2,29,99,999",Lalitpur5 minutes from Ring road.,Lalitpur5 minutes from Ring road.,Two And Half Floors,,7 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7437
"Residential House On Rent At Nakhu, Lalitpur","20,000",Lalitpur5 minutes from Ring road.,Lalitpur5 minutes from Ring road.,Three And Half Floors,,2 Bed Room,1 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7436
3bhk Flat For Sale At Sunrise Apartment,"1,05,00,000","Lalitpur5 mins from Ekantakuna, Ring Road",Lalitpur5 mins from Ekantakuna,Fifth Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7434
"Urgent House On Sale At Manamaiju, Kathmandu","1,25,00,000","Kathmandu, Tarkeshwor, Baluwapati2.5 km far from buspark/gongabu, Ring Road.",Kathmandu,One and Half Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7431
"Residential House On Sale At Bhainsepati, Lalitpur","3,05,00,000","Lalitpur, Nakhudol1.5 KM from Mahalaxmisthan Chowwk, Ring Road.",Lalitpur,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7429
सातदोबाटोमा आकर्षक घर बिक्रीमा,"2,30,00,000",Lalitpur,Lalitpur,Three And Half Floors,,14 Bed Room,8 Bath Room,4 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7420
"Residential House On Sale At Kapan, Kathmandu","1,80,00,000","Kathmandu, Budhanilkantha",Kathmandu,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7414
"Commercial Cum Residential House On Sale At Sundarbasti, Kathmandu","3,10,00,000","Kathmandu, Budhanilkantha, Sundarbasti800 meter east from Budhanilkantha main road.",Kathmandu,Three And Half Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7410
"Semi Commercial House ON Sale At Tikathali, Lalitpur","1,65,00,000","Lalitpur, Mahalaxmi, Tikathali V.D.C.2 KM From Jadibuti Chowk, Araniko highway.",Lalitpur,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7404
"Commercial Building On Sale At Teku, Kathmandu","5,10,00,000",Kathmandu,Kathmandu,Five And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7401
Commercial House On Sale At Kapan,"1,70,00,000","Kathmandu, Budhanilkantha",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7398
"Residential House On Sale At Imadol, Lalitpur","1,60,00,000","Lalitpur, Mahalaxmi1.5 KM from Gwarko Chowk, Ring Road.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7388
"Residential House On Sale At Kapan, Kathmandu","2,70,00,000","Kathmandu, Budhanilkantha, Baluwakhani",Kathmandu,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7379
"Residential Bungalow On Sale At Bhainsepaati, Lalitpur","4,00,00,000","Lalitpur, Saibu Colony2 KM From Ekantakuna Chowk, Ring Road.",Lalitpur,Three Floors,,5 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7375
"Commercial House On Sale At Hattiban, Lalitpur","2,40,00,000","Lalitpur, Mahalaxmi1.5 KM From Satdobato Chowk, Ring Road.",Lalitpur,Two And Half Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7374
"Residential House On Sale At Hattiban, Lalitpur","2,60,00,000","Lalitpur, Mahalaxmi, Sitapakha1.5 KM From Satdobato Chowk, Ring Road.",Lalitpur,Two And Half Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7373
"Residential House On Sale At Kapan, Kathmandu","11,00,000","Kathmandu, Budhanilkantha, Lasuntar2 KM From Sukedhara Chowk, Ring Road.",Kathmandu,One Floors,,3 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7371
Residential House On Sale At Simara,"1,00,00,000","Bara, SimaraSimara, 1.5 km to the south from simara airport chowk.",Bara,Two Floors,,4 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7365
"Residential House On Sale At Boudha, Kathmandu","2,70,00,000","Kathmandu, Boudha800 meter from Chabahil Chowk, Ring Road.",Kathmandu,Three Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7362
